TIMESTAMP,POWER
20131101 2:00,0.18948436
20131101 3:00,0.09174529
20131101 4:00,0.0678016
20131101 5:00,0.06511625
20131101 6:00,0.09262282
20131101 7:00,0.17652889
20131101 8:00,0.33152467
20131101 9:00,0.24638811
20131101 10:00,0.10052418
20131101 11:00,0.014343277
20131101 12:00,0.047026098
20131101 13:00,0.050697085
20131101 14:00,0.036157377
20131101 15:00,0.0631883
20131101 16:00,0.04559135
20131101 17:00,0.014343277
20131101 18:00,0.014343277
20131101 19:00,0.014343277
20131101 20:00,0.014343277
20131101 21:00,0.06076499
20131101 22:00,0.2545546
20131101 23:00,0.4644
20131102 0:00,0.48956746
20131102 1:00,0.35677233
20131102 2:00,0.32213044
20131102 3:00,0.4402425
20131102 4:00,0.38159502
20131102 5:00,0.7080347
20131102 6:00,0.6955195
20131102 7:00,0.70582074
20131102 8:00,0.605541
20131102 9:00,0.7633337
20131102 10:00,0.74146974
20131102 11:00,0.6303013
20131102 12:00,0.561954
20131102 13:00,0.535448
20131102 14:00,0.37063769
20131102 15:00,0.40901747
20131102 16:00,0.219877
20131102 17:00,0.4455343
20131102 18:00,0.42873228
20131102 19:00,0.5463056
20131102 20:00,0.44039905
20131102 21:00,0.42753243
20131102 22:00,0.46209073
20131102 23:00,0.21145993
20131103 0:00,0.25631893
20131103 1:00,0.25285625
20131103 2:00,0.35258105
20131103 3:00,0.25240847
20131103 4:00,0.219197
20131103 5:00,0.2900468
20131103 6:00,0.3133445
20131103 7:00,0.31686303
20131103 8:00,0.46573085
20131103 9:00,0.49550116
20131103 10:00,0.3072226
20131103 11:00,0.27807385
20131103 12:00,0.57936376
20131103 13:00,0.76990044
20131103 14:00,0.84963304
20131103 15:00,0.88928515
20131103 16:00,0.9522744
20131103 17:00,0.95127267
20131103 18:00,0.9320516
20131103 19:00,0.91741264
20131103 20:00,0.94336796
20131103 21:00,0.8628934
20131103 22:00,0.88385016
20131103 23:00,0.9120272
20131104 0:00,0.94691867
20131104 1:00,0.9243453
20131104 2:00,0.9122652
20131104 3:00,0.823866
20131104 4:00,0.5969614
20131104 5:00,0.32938322
20131104 6:00,0.29031765
20131104 7:00,0.3134922
20131104 8:00,0.35725564
20131104 9:00,0.3285833
20131104 10:00,0.37731206
20131104 11:00,0.46397734
20131104 12:00,0.7402249
20131104 13:00,0.9393612
20131104 14:00,0.9183747
20131104 15:00,0.9640768
20131104 16:00,0.96218246
20131104 17:00,0.945669
20131104 18:00,0.9538117
20131104 19:00,0.9649297
20131104 20:00,0.95731276
20131104 21:00,0.93714935
20131104 22:00,0.921965
20131104 23:00,0.81458277
20131105 0:00,0.76440316
20131105 1:00,0.8092866
20131105 2:00,0.5607798
20131105 3:00,0.45641536
20131105 4:00,0.19293562
20131105 5:00,0.11052766
20131105 6:00,0.045493077
20131105 7:00,0.014343277
20131105 8:00,0.014343277
20131105 9:00,0.014343277
20131105 10:00,0.07596954
20131105 11:00,0.22664368
20131105 12:00,0.2951101
20131105 13:00,0.31129295
20131105 14:00,0.32341057
20131105 15:00,0.35471418
20131105 16:00,0.3375908
